dataset,objects,features,labels,ch_btw,ch,db,dunn,ii,sil,xb,knn,nb,rf,lr,lda,mlp,agglo_average_ami,agglo_average_nmi,agglo_average_vm,agglo_average_arand,agglo_complete_ami,agglo_complete_nmi,agglo_complete_vm,agglo_complete_arand,agglo_single_ami,agglo_single_nmi,agglo_single_vm,agglo_single_arand,birch_ami,birch_nmi,birch_vm,birch_arand,dbscan_ami,dbscan_nmi,dbscan_vm,dbscan_arand,hdbscan_ami,hdbscan_nmi,hdbscan_vm,hdbscan_arand,kmeans_ami,kmeans_nmi,kmeans_vm,kmeans_arand,xmeans_ami,xmeans_nmi,xmeans_vm,xmeans_arand,kmedoid_ami,kmedoid_nmi,kmedoid_vm,kmedoid_arand,ensemble_classifiers
sentiment_labeld_sentences,2748,200,2,0.1466065842464939,11.651717570167337,14.660853325391008,0.0,0.0038051918081489088,0.004967732502028031,58.91385817220032,0.6983268753104819,0.7372518628912073,0.7438065904951151,0.7448955125020699,0.7357973174366618,0.7441702268587516,0.005945826596907082,0.010895920169619497,0.00821696841860622,0.00015108411051608167,0.007772616739315794,0.013051439810237203,0.009818374775763214,0.0003955015177080321,1.8749942113005488e-05,0.011923840660793024,0.0035653251463150363,2.6179321577268477e-05,0.03146847017136652,0.03805532592231441,0.0322617540317343,0.003241456132940904,0.04979365278345035,0.2371426216624713,0.13849184597185454,0.003767830507330345,0.05865974118189123,0.05020721183147624,0.05020721183147624,0.04236467961916302,0.04442822186234943,0.027481563230383928,0.01909660917909561,0.021125195097092157,0.0259652226116815,0.015086677455527395,0.012424719464522537,0.003126861381796634,0.0,0.0,0.0,0.0,0.7448955125020699
diabetic_retinopathy_debrecen,1151,19,2,0.2253568087239517,29.066354289774587,5.520442355052149,0.004818014965427736,0.001065823657830218,0.0249776756278566,9.844956207235306,0.667227555053642,0.6081347637869378,0.6785243741765481,0.7071748541313758,0.7202597402597403,0.6836965932618106,0.008776999623710011,0.02172971202742284,0.014149038513789106,-0.001058998027646875,0.0255840492208902,0.026843416157977324,0.026839780376533895,0.01626793273674216,0.00032696177477895683,0.019080644433860764,0.008168219705656402,0.000459942090404677,0.03671656964475981,0.038850651482567534,0.03806426708831413,0.036189741681591024,0.025199018249573595,0.060401408952153866,0.054911000305560856,0.0302087104175091,0.0468925579472784,0.0468925579472784,0.0468925579472784,0.04169910013086388,0.032576881621355205,0.037719792943738624,0.034372312287074866,0.019382117005991812,0.0345061224212994,0.056910042033294625,0.041998570884211106,0.013481761705447348,0.022439126171309595,0.026727030731656783,0.024218544794643422,0.02041541199519172,0.7202597402597403
optical_recognition_of_handwritten_digits,3823,64,10,0.932258779914384,322.0856375775516,2.0358848027550724,0.43089893542940455,0.16138409893531225,0.17409701389125326,1.4208366391449738,0.9840440748725319,0.9322513089005235,0.9769831981658283,0.9670441090921533,0.9516093488006023,0.9727960852752968,0.8224541898559291,0.8247714144704223,0.8237997952826672,0.7249107872280871,0.7079465570334874,0.7198430819492271,0.7114771404493787,0.5414703267946341,0.0011336242543154758,0.04605342817414762,0.01622846929650338,9.137772750421697e-06,0.5377191489683993,0.5882080761903835,0.5383838055481232,0.29048055670636147,0.4015418846995226,0.6251568689895991,0.5624592514418765,0.05874064435815305,0.7732995118781925,0.7732995118781925,0.7732995118781925,0.7732995118781925,0.7996547526653507,0.7942526544038911,0.8008381895378311,0.7457158920616342,0.7217176126521503,0.7174363389329047,0.7257062884217665,0.6298765340051269,0.7017598637850981,0.7107727364086414,0.7035363248707772,0.6384250436147537,0.9840440748725319
iris,150,4,3,0.9543574008519142,486.3208569649,0.7517427969525099,0.428945857408497,0.3380865264750164,0.5032507032257659,0.22692901680624508,0.9866666666666667,0.9533333333333334,0.96,0.9333333333333333,0.9866666666666667,0.9733333333333334,0.8032287370935427,0.8057536711305497,0.8056936912153354,0.7591987071071524,0.7184641371994777,0.7224215140354535,0.7220663465703585,0.64225125183629,0.7315847607219582,0.761170259722288,0.733680436651211,0.5681159420289854,0.8032287370935427,0.8057536711305497,0.8056936912153354,0.7591987071071524,0.7315847607219582,0.761170259722288,0.733680436651211,0.5681159420289854,0.7315847607219582,0.7315847607219582,0.7315847607219582,0.7315847607219582,0.7551191675800482,0.7582057278194193,0.758175680005778,0.7302382722834699,0.6722074590821877,0.6811279811473192,0.6823251485256457,0.5899614762984191,0.7829561199671795,0.7856963190683124,0.7856651817981656,0.7583384522539414,0.9866666666666667
mnist64,1082,64,6,0.8808908083488072,156.67548581195857,1.8244012643578253,0.4935530105546728,0.3735291879996148,0.20464042560146736,1.0030816278484724,0.9879928315412186,0.9445468509984639,0.9685825226147806,0.9639699607441543,0.9408346134152585,0.9473630312339989,0.9182665293916384,0.9207167324478258,0.919202116538742,0.9027508732803253,0.7346832776645053,0.7522057787012796,0.7379106788114493,0.6114348525428627,0.7916796816451476,0.8008082848282797,0.7953852619114395,0.5701348395228134,0.6999234322460365,0.7401441229342117,0.7065992307943088,0.5298642586871265,0.3633949423036267,0.5610285479486141,0.4788017582695325,0.14512518479855635,0.9265179658492892,0.9265179658492892,0.9265179658492892,0.9265179658492892,0.8059776791760968,0.7918277706448772,0.7947287927614861,0.7798539055263574,0.7576491345919086,0.7667498113575971,0.7596800155862402,0.693721839574488,0.7069366976729424,0.7139712687283774,0.7097159645851758,0.6343312484110873,0.9879928315412186
harbermans_survival,306,3,2,0.26333784848447556,8.36034515577258,4.725836847244283,0.0,0.0009192600675768748,0.05972195075999602,7.077405187291281,0.7745637228979375,0.7516129032258065,0.7418826017979906,0.7418826017979905,0.748281332628239,0.7418826017979905,0.06885357070535614,0.08055295872017296,0.0793906375240836,0.1655132676763485,0.022543593010093285,0.0323574096714878,0.030474467314748115,0.03324669921621902,0.016895827599087455,0.060039186248492124,0.04397350782400153,0.025793175054291812,0.030331659544687188,0.06439373243041137,0.06205628548562704,0.05597222528427537,0.02622810344914107,0.03868252554326215,0.020957536375426078,0.13100402921323276,0.06815981056429629,0.06815981056429629,0.06815981056429629,0.062329907181046154,0.023145105687456383,0.03772492847544953,0.02970283392153018,0.05224185241067293,0.016678564464249583,0.022766111598555322,0.02039265461915459,0.009211650076326131,0.05623449749440793,0.06260668987609554,0.0601289684241977,0.0783093182195987,0.7745637228979375
user_knowledge_modeling,258,5,4,0.7144724453257748,27.99802998071051,3.124954068429893,0.29548352043829035,0.049600724419809235,0.049211826062820756,3.2100693292131455,0.8097285067873303,0.8719457013574662,0.9496229260935143,0.9458521870286576,0.9419306184012066,0.8914027149321267,0.33498632124949324,0.3703533558069933,0.35894998252224225,0.2500569894510205,0.30789545118735623,0.3322419522049345,0.32396798550683603,0.22185045254438324,0.05377258375435423,0.13715671500330712,0.12054191984875366,0.02937133758200295,0.4452750329628124,0.5020666124249241,0.4440483294726859,0.3747079065679382,0.18437976217399085,0.49041698552890745,0.4012337999268281,0.021447245808449308,0.22135022689069744,0.2146706985966929,0.20980414993639687,0.20980414993639687,0.4060814267106946,0.42990499075786826,0.4095988413947538,0.3518840013825921,0.21152067930582863,0.220382957985992,0.18507282751603732,0.1418447742980742,0.19039950866396896,0.220532733557731,0.21374099028751514,0.13634832028630622,0.9496229260935143
seeds,210,7,3,0.9461138768448466,310.42836010486764,0.8123078814159506,0.05115480071897395,0.05737356049701172,0.41450829256985333,0.2725947132102509,0.9047619047619048,0.9047619047619048,0.8714285714285716,0.8857142857142858,0.9619047619047618,0.8952380952380953,0.7125656350131799,0.715099976343785,0.7150972523886896,0.7441752360248659,0.611916079722688,0.625116915136124,0.6177877288485712,0.5461350277628221,0.49788339347535465,0.5213377231845134,0.5192282406699409,0.002549653529200636,0.7204569783414511,0.7229283884456552,0.7229224653459521,0.7126547081911886,0.4878861568431326,0.5043181789955522,0.4942688900350466,0.36799259887926117,0.4758847404934265,0.4758847404934265,0.4758847404934265,0.4758847404934265,0.6922160128787076,0.6949265763820526,0.6949250270680577,0.7166198557361055,0.5911004195644307,0.5876741190855437,0.5982797922778414,0.44793145824184155,0.7074851461039215,0.7100683008832274,0.7100637577760447,0.7103417092680222,0.9619047619047618
ph_recognition,653,3,15,0.844285074098792,187.25513394349232,2.256700186312768,0.0,0.040731094927275696,0.086136792726808,4.618948813192749,0.7075161479741632,0.635584263065179,0.7412683499706401,0.5467058132706988,0.5911215502055196,0.6647328244274809,0.5798452048462349,0.6234548349986482,0.621649076318713,0.38852055552243686,0.5626090303865914,0.6138600746745541,0.6109046794861085,0.3844288854276226,0.5097390434677831,0.5709192452921125,0.5672484626441717,0.23074903195172372,0.468136471070574,0.5220073762654593,0.46231449614658804,0.19721620119004146,0.5442975580739973,0.583271745691798,0.5832616845800638,0.3019206996978078,0.504805311483499,0.5236660055778712,0.5164938817960868,0.504805311483499,0.5929122362777224,0.6282549425366858,0.6322426314580359,0.4180652731191188,0.46956042418490523,0.5598588183092643,0.5074011009623158,0.2195731621069074,0.5904090413436436,0.6156063474818213,0.6146538596184873,0.3753574744903209,0.7412683499706401
water_quality,2011,9,2,0.04008032343920149,3.3288027385707335,19.324900797653566,0.00034763691763387217,4.0230418340182136e-05,0.00609615300602683,145.23451398775538,0.5991963260619977,0.5972161524881794,0.6365245731639569,0.5967186400503685,0.5972149179660012,0.5967186400503685,0.001594911945728527,0.00285305737381162,0.0026881196116870947,0.009152777286294258,0.0007012245790851727,0.001302262951170201,0.0012487735425323223,0.007179770924329779,0.001339954630569305,0.013181403465733784,0.005969230393385743,0.0023713036542728156,0.0010286959681768937,0.001633588728172652,0.001632021522368473,0.0026126025576137797,0.002371481965788974,0.01023834020611721,0.004830512669681344,0.0027062875180865354,0.001315269070790496,0.0005528810773391784,0.001377174109320867,-1.3430900755528803e-05,0.00042129845119415736,0.0014467533730936177,0.0013387967124489886,0.0015500472598802269,0.00027141170138849545,0.0073162733544965735,0.005950212953335919,0.003765495024055498,0.0011869250147237406,0.002464884178488997,0.0022004105666809737,0.0016142799692575975,0.6365245731639569
